id,journal,abstract
1,A,"Parenting behaviors have been shown to moderate the association between sensation seeking and antisocial behaviors. Data were obtained from the Boricua Youth Study, a longitudinal study of 2,491 Puerto Rican youth living in the South Bronx, New York, and the metropolitan area of San Juan, Puerto Rico. First, we examined the prospective relationship between sensation seeking and antisocial behaviors across 3 yearly waves and whether this relationship varied by sociodemographic factors. Second, we examined the moderating role of parenting behaviors-including parental monitoring, warmth, and coercive discipline-on the prospective relationship between sensation seeking and antisocial behaviors. Sensation seeking was a strong predictor of antisocial behaviors for youth across two different sociocultural contexts. High parental monitoring buffered the association between sensation seeking and antisocial behaviors, protecting individuals with this trait. Low parental warmth was associated with high levels of antisocial behaviors, regardless of the sensation seeking level. Among those with high parental warmth, sensation seeking predicted antisocial behaviors, but the levels of antisocial behaviors were never as high as those of youth with low parental warmth. Study findings underscore the relevance of person-family context interactions in the development of antisocial behaviors. Future interventions should focus on the interplay between individual vulnerabilities and family context to prevent the unhealthy expression of a trait that is present in many individuals."
2,A,"Sleep variables have been linked to improved functioning of learning and memory throughout life, with most studies focusing on older children and adults. Since infancy is a time of outstanding plasticity, sleep variables could be particularly important for cognitive development in that age group. This is a longitudinal study collecting data from 40 infants at four different time points of 4, 6, 8 and 10 months. Sleep variables were assessed using actigraphy for a week, as well as a sleep questionnaire. Eye-tracking was employed to examine developmental cognitive trajectories. Infants had to remember the location of a toy that had previously been linked to a sound and an eye-tracker recorded whether they were searching the correct location upon hearing the sound. Based on their trajectories between 4 and 10 months, infants were divided into two groups who shifted their response strategies at different time points. Those two groups also differed in other aspects of their looking patterns and scored increasingly differently in the Ages & Stages Questionnaire over time. Time spent awake in the night early in life was reduced in the group who changed their strategy earlier. While previous research examined the relation of infant sleep and cognitive functioning measured once, this paper provides first evidence that night wake time can serve as a marker for different cognitive trajectories."
3,A,"Childhood risk factors are associated with elevated inflammatory biomarkers in adulthood, but it is unknown whether these risk factors are associated with increased adult levels of the chronic inflammation marker soluble urokinase plasminogen activator receptor (suPAR). We aimed to test the hypothesis that childhood exposure to risk factors for adult disease is associated with elevated suPAR in adulthood and to compare suPAR with the oft-reported inflammatory biomarker C-reactive protein (CRP). Prospective study of a population-representative 1972-1973 birth cohort; the Dunedin Multidisciplinary Health and Development Study observed participants to age 38 years. Main childhood predictors were poor health, socioeconomic disadvantage, adverse childhood experiences (ACEs), low IQ, and poor self-control. Main adult outcomes were adulthood inflammation measured as suPAR and high-sensitivity CRP (hsCRP). Participants with available plasma samples at age 38 were included (N = 837, 50.5% male). suPAR (mean 2.40 ng/ml; SD 0.91) was positively correlated with hsCRP (r 0.15, p < .001). After controlling for sex, body mass index (BMI), and smoking, children who experienced more ACEs, lower IQ, or had poorer self-control showed elevated adult suPAR. When the five childhood risks were aggregated into a Cumulative Childhood Risk index, and controlling for sex, BMI, and smoking, Cumulative Childhood Risk was associated with higher suPAR (b 0.10; SE 0.03; p = .002). Cumulative Childhood Risk predicted elevated suPAR, after controlling for hsCRP (b 0.18; SE 0.03; p < .001). Exposure to more childhood risk factors was associated with higher suPAR levels, independent of CRP. suPAR is a useful addition to studies connecting childhood risk to adult inflammatory burden."
4,A,"The 'dysregulation profile' (DP) is a measure of emotional and behavioral dysregulation that may cut across diagnostic boundaries. Siblings of children with autism spectrum disorder (ASD) who do not develop ASD themselves are at risk for atypical outcomes including behavioral challenges and therefore may be a useful population in which to investigate the structure of the DP in preschoolers. We sought to examine the factor structure and predictors of the DP in a sample enriched for a wide range of phenotypic variation-36-month-olds with and without family histories of ASD-and to determine whether children with genetic liability for ASD are at risk for a phenotype characterized by elevated dysregulation. Data were collected from 415 children with (n = 253) and without (n = 162) an older sibling with ASD, all without ASD themselves, at 18, 24, and 36 months of age. Our findings replicate prior reports, conducted in predominantly clinically referred and older samples, supporting the superiority of a bifactor model of the DP in the preschool period compared to the second-order and one-factor models. Examiner ratings were longitudinally and concurrently associated with the DP at 36 months of age. Family history of ASD was associated with higher dysregulation in the Anxious/Depressed dimension. These findings support the relevance of examining the structure of psychopathology in preschoolers and suggest that examiner observations as early as 18 months of age, particularly of overactivity, may help identify risk for later DP-related concerns. Non-ASD preschoolers with family histories of ASD may be at risk for a phenotype characterized by elevated dysregulation particularly in the Anxious/Depressed dimension by age 3."
5,A,"Health anxiety (HA) is an increasing public health problem related to increased health service costs, and associated with functional somatic symptoms (FSS) and considerable personal suffering. Abnormal bodily experiences which may resemble HA and FSS are common in psychotic disorders, but a potential link between HA and psychosis vulnerability in childhood is largely unexplored. The current study estimates the association between subclinical psychotic experiences (PE) and HA and FSS in a general population cohort of preadolescents. The study population consisted of 1,572 11-12-year-old children from the Copenhagen Child Cohort 2000. PE were comprehensibly assessed as either present or not present using the Kiddie Schedule of Affective Disorders and Schizophrenia psychosis section. HA and FSS were assessed by self-report on validated questionnaires. Additional variables on general psychopathology, puberty, and chronic somatic illness were also obtained. Psychotic experiences were associated with the top 10% high scores of HA (Odds Ratio (OR) 3.2; 95% CI: 2.1-4.8) and FSS (OR 4.6; 95% CI: 3.1-6.9) in univariate analyses. After mutual adjustment, the association was reduced to (HA: OR 2.3; 95% CI: 1.5-3.5; FSS: OR 3.7; 95% CI: 2.4-4.7), suggesting interdependence. Further adjustment for potential confounders and general psychopathology only reduced the associations slightly: HA OR 2.2 (95% CI: 1.4-3.4); FSS OR 3.3 (95% CI: 2.1-5.2). Secondary analyses of subdimensions of HA showed that PE were associated with fears (OR 3.0; 95% CI: 2.0-4.6) and daily impact of HA symptoms (OR 5.0; 95% CI: 3.4-7.5), but not help seeking (OR 1.2; 95% CI: 0.7-2.1). This is the first study to investigate the associations between PE and HA and FSS, respectively. PE were significantly associated with HA and FSS over and above general psychopathology in preadolescence. Individuals with PE expressed high levels of health-related fears and daily impact, but no corresponding help-seeking behavior."
6,A,"The aim of this study is to provide a better understanding of the central symptoms of DSM-5 posttraumatic stress disorder (PTSD) in children and adolescents from the perspective of the child and its caregiver. Identifying core symptoms of PTSD can help clinicians to understand what may be relevant targets for treatment. PTSD may present itself differently in children and adolescents compared to adults, and no study so far has investigated the DSM-5 PTSD conceptualization using network analysis. The network structure of DSM-5 PTSD was investigated in a clinical sample of n = 475 self-reports of children and adolescents and n = 424 caregiver-reports using (a) regularized partial correlation models and (b) a Bayesian approach computing directed acyclic graphs (DAGs). (a) The 20 DSM-5 PTSD symptoms were positively connected within the self-report and the caregiver-report sample. The most central symptoms were negative trauma-related cognitions and persistent negative emotional state for the self-report and negative trauma-related cognitions, intrusive thoughts or memories and exaggerated startle response for the caregiver-report. (b) Similarly, symptoms in the negative alterations in cognitions and mood cluster (NACM) have emerged as key drivers of other symptoms in traumatized children and adolescents. As the symptoms in the DSM-5 NACM cluster were central in our regularized partial correlation networks and also appeared to be the driving forces in the DAGs, these might represent important symptoms within PTSD symptomatology and may offer key targets in PTSD treatment for children and adolescents."
7,A,"Evidence supporting clinical relevance and persistence of disinhibited social engagement behavior (DSEB) pertains mostly to children reared in institutions and foster care. This study examined the course of DSEB in clinically referred home-reared children from early into middle childhood, and associations with neglect/emotional maltreatment, effortful control, Attention Deficit/Hyperactivity Disorder, Oppositional Defiant Disorder, and Autism Spectrum Disorder. Disinhibited social engagement behavior was examined in 124 children (82% boys, M = 4.06 years, SD = 0.89), referred for treatment of emotional and behavioral problems, by use of the Disturbances of Attachment Interview (DAI) with biological parents. Neglect and emotional maltreatment were assessed from case records and effortful control by use of the Child Behavior Questionnaire. At follow-up, on average 4 years later, DSEB was examined by use of DAI as well as two observational ratings: the Stranger at the Door procedure (SatD) and a structured home observation of stranger approach. Psychiatric disorders were assessed by means of the Kiddie-Schedule for Affective Disorders and Schizophrenia. Persistence of parent-reported DSEB was found in 57% (n = 27) of the children with DSEB at baseline (n = 47). Parent-reported DSEB at follow-up was significantly related to DSEB observed in the SatD (r(pb) = .31, p = .001) and to observed stranger approach (r(s) = .41, p < .001), but only stranger approach was associated with baseline DSEB. The course of DSEB was not related to neglect/emotional maltreatment, nor to the level of effortful control. There was no association between DSEB and Autism Spectrum Disorder, but course of DSEB was associated with Attention Deficit/Hyperactivity Disorder/Oppositional Defiant Disorder at follow-up (chi(2) = 13.08, p = .004). Although explanations for the onset and course of DSEB in home-reared children remain elusive, findings suggest that DSEB is part of a complex of clinically significant problem behaviors in referred home-reared preschool children."
8,B,"This Article argues that international investment agreements (IIAs) serve a dual economic function-to discipline host country policies that impose international externalities on foreign investors, and to curtail inefficient risks associated with agency costs, risk aversion, asymmetric information, and time inconsistency problems that uneconomically increase the cost of imported capital in host countries. It draws on the economic analysis to explain central features of IIAs and their evolution over time, and to address various controversial issues in international investment litigation."
9,B,"In 1822, the Russian czar resolved a dispute over compensation for slaves fleeing to British lines during the War of 1812. American observers have long asserted that this canonical decision favored the United States. But new debate has recently arisen among historians. Uncovering evidence from diplomatic archives, this Article concludes that the czar did indeed side with the United States. Moreover, the case demonstrates how nineteenth-century American statesmen pressed international law into service in support of slavery."
10,A,"This study evaluated whether clinical and economic outcomes from CBT for child anxiety disorders in the context of maternal anxiety disorders are improved by adding treatment focused on (a) maternal anxiety disorders or (b) mother-child interactions. Two hundred and eleven children (7-12 years, 85% White British, 52% female) with a primary anxiety disorder, whose mothers also had a current anxiety disorder, were randomised to receive (a) child-focused CBT with nonspecific control interventions (CCBT+Con), (b) CCBT with CBT for the maternal anxiety disorder (CCBT+MCBT), or (c) CCBT with an intervention targeting the mother-child interaction (CCBT+MCI). A cost-utility analysis from a societal perspective was conducted using mother/child combined quality-adjusted life years (QALYs). [Trial registration: ]. MCBT was associated with immediate reductions in maternal anxiety compared to the nonspecific control; however, after children had also received CCBT, maternal outcomes in the CCBT+MCI and CCBT+Con arms improved and CCBT+MCBT was no longer superior. Neither CCBT+MCBT nor CCBT+MCI conferred a benefit over CCBT+Con in terms of child anxiety disorder diagnoses post-treatment [primary outcome] (adj RR: 1.22 (95% CI: 0.88, 1.67), p = .23; adj RR: 1.21 (95% CI: 0.88, 1.65), p = .24, respectively) or global improvement ratings (adj RR: 1.25 (95% CI: 0.99, 1.57), p = .06; adj RR: 1.18 (95% CI: 0.93, 1.50), p = .17) or six and 12 months later. No significant differences between the groups were found on the main economic outcome measures (child/mother combined QALY mean difference: CCBT+MCBT vs. CCBT+Con: -0.04 (95% CI: -0.12, 0.04), p = .29; CCBT+MCI vs. CCBT+Con: 0.02 (95% CI: -0.05, -0.09), p = .54). CCBT+MCI was associated with nonsignificantly higher costs than CCBT (mean difference: 154 pound (95% CI: -1,239 pound, 1,547) pound, p = .83) but, when taking into account sampling uncertainty, it may be cost-effective compared with CCBT alone. Good outcomes were achieved for children and their mothers across treatment arms. There was no evidence of significant clinical benefit from supplementing CCBT with either CBT for the maternal anxiety disorder or treatment focussed on mother-child interactions, but the addition of MCI (and not MCBT) may be cost-effective."
