Name	Gender	Edition	Category	MovieTitle	Director	Date
Roger Deakins	Male	90th Academy Awards	Academy Award for Best Cinematography	Blade Runner 2049	Denis Villeneuve	2018-03-04T00:00:00Z
Richard R. Hoover	Male	90th Academy Awards	Academy Award for Best Visual Effects	Blade Runner 2049	Denis Villeneuve	2018-03-04T00:00:00Z
Gary Rizzo	Male	90th Academy Awards	Academy Award for Best Sound Mixing	Dunkirk	Christopher Nolan	2018-03-04T00:00:00Z
Richard King	Male	90th Academy Awards	Academy Award for Best Sound Editing	Dunkirk	Christopher Nolan	2018-03-04T00:00:00Z
Lee Smith	Male	90th Academy Awards	Academy Award for Best Film Editing	Dunkirk	Christopher Nolan	2018-03-04T00:00:00Z
Sam Rockwell	Male	90th Academy Awards	Academy Award for Best Supporting Actor	"Three Billboards Outside Ebbing, Missouri"	Martin McDonagh	2018-03-04T00:00:00Z
Frances McDormand	Female	90th Academy Awards	Academy Award for Best Actress	"Three Billboards Outside Ebbing, Missouri"	Martin McDonagh	2018-03-04T00:00:00Z
Jordan Peele	Male	90th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Get Out	Jordan Peele	2018-03-04T00:00:00Z
James Ivory	Male	90th Academy Awards	"Academy Award for Best Writing, Adapted Screenplay"	Call Me by Your Name	Luca Guadagnino	2018-03-04T00:00:00Z
Paul Denham Austerberry	Male	90th Academy Awards	Academy Award for Best Production Design	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
Alexandre Desplat	Male	90th Academy Awards	Academy Award for Best Original Score	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
Guillermo del Toro	Male	90th Academy Awards	Academy Award for Best Director	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
J. Miles Dale	Male	90th Academy Awards	Academy Award for Best Picture	The Shape of Water	Guillermo del Toro	2018-03-04T00:00:00Z
Gary Oldman	Male	90th Academy Awards	Academy Award for Best Actor	Darkest Hour	Joe Wright	2018-03-04T00:00:00Z
Lucy Sibbick	Female	90th Academy Awards	Academy Award for Best Makeup and Hairstyling	Darkest Hour	Joe Wright	2018-03-04T00:00:00Z
Sebastian Lelio	Male	90th Academy Awards	Academy Award for Best Foreign Language Film	A Fantastic Woman	Sebastian Lelio	2018-03-04T00:00:00Z
Allison Janney	Female	90th Academy Awards	Academy Award for Best Supporting Actress	"I, Tonya"	Craig Gillespie	2018-03-04T00:00:00Z
Mark Bridges	Male	90th Academy Awards	Academy Award for Best Costume Design	Phantom Thread	Paul Thomas Anderson	2018-03-04T00:00:00Z
Dan Cogan	Male	90th Academy Awards	Academy Award for Best Documentary Feature	Icarus	Bryan Fogel	2018-03-04T00:00:00Z
Frank Stiefel	Male	90th Academy Awards	Academy Award for Best Documentary (Short Subject)	Heaven Is a Traffic Jam on the 405	Frank Stiefel	2018-03-04T00:00:00Z
Andrew R. Jones	Male	89th Academy Awards	Academy Award for Best Visual Effects	The Jungle Book	Jon Favreau	2017-02-26T00:00:00Z
Colleen Atwood	Female	89th Academy Awards	Academy Award for Best Costume Design	Fantastic Beasts and Where to Find Them	David Yates	2017-02-26T00:00:00Z
Casey Affleck	Male	89th Academy Awards	Academy Award for Best Actor	Manchester by the Sea	Kenneth Lonergan	2017-02-26T00:00:00Z
Kenneth Lonergan	Male	89th Academy Awards	"Academy Award for Best Writing, Original Screenplay"	Manchester by the Sea	Kenneth Lonergan	2017-02-26T00:00:00Z
Sylvain Bellemare	Male	89th Academy Awards	Academy Award for Best Sound Editing	Arrival	Denis Villeneuve	2017-02-26T00:00:00Z
Linus Sandgren	Male	89th Academy Awards	Academy Award for Best Cinematography	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Justin Hurwitz	Male	89th Academy Awards	Academy Award for Best Original Score	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Justin Hurwitz	Male	89th Academy Awards	Academy Award for Best Original Song	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Emma Stone	Female	89th Academy Awards	Academy Award for Best Actress	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Damien Chazelle	Male	89th Academy Awards	Academy Award for Best Director	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Sandy Reynolds-Wasco	Female	89th Academy Awards	Academy Award for Best Production Design	La La Land	Damien Chazelle	2017-02-26T00:00:00Z
Robert Mackenzie	Male	89th Academy Awards	Academy Award for Best Sound Mixing	Hacksaw Ridge	Mel Gibson	2017-02-26T00:00:00Z
