course_code,course_title,course_type,offered,frequency,instructor,summary
INFO0590,Practicum,core,Summer,Every year,"Watson, JoAnn (N/A)","In combination with required MLIS course work, the Practicum placement in an information setting is an essential experiential learning element in the school’s curriculum, and a key element in the professional training for information management students. The 100-hour placement enables the student to test and evaluate class theory, to contribute by actual participation, and to explore areas of particular interest for course specialization and future employment. Placements are arranged in consultation with the MLIS Program Coordinator."
INFO2000,Modern Information Sharing,elective,Fall,Every year,,"Focused primarily on skill set development, this course provides the student with an introduction to the practical application of theory in communicating in the workforce and preparing students to represent organizations to the wider community. We will a..."
INFO2001,Digital Society,elective,Winter,Every year,,"Digital technologies (Facebook, Twitter, mobile phones) have become normalized and are an integral part of many people’s everyday lives. This course introduces the societal dimensions of today's information-rich environment. Society is being transforme..."
INFO5500,Information in society,core,Fall,Every year,"Mongeon, Philippe (Assistant Professor)","INFO5500 introduces the field of information and the economic, political, and social dimensions of the information society. In this course, students will explore a wide range of topics including the production, dissemination, use, valuation, ethics, and ..."
INFO5515,Organization of information,core,Fall,Every year,"Grek Martin, Jennifer (Lecturer)",Organization of Information introduces students to the theory and application of organizing information in various formats. Primary topics throughout the course include description and representation of information in various media; metadata; subject cla...
INFO5520,Research Methods,core,Winter,Every year,"Grek Martin, Jennifer (Lecturer)","Information professionals require knowledge of formal research processes in order to support the goals of their organization by contributing to evidence-based decision-making. This course introduces fundamental concepts of research, the nature and uses o..."
INFO5530,"Information Sources, Services, and Retrieval",core,Fall,Every year,"Hemming, Deborah (Lecturer; Liaison Librarian)","This course is both a theoretical and practical introduction to information services, sources, and retrieval (traditionally known as “reference work”) in an array of settings. We will discuss users and their information-seeking behaviours, major cate..."
INFO5570,Organizational Management and Strategy,capstone,Winter,Every year,"Skerrett, Paulette (Assistant Professor)","Introduces management theories and practices for organizational functions occurring in any type of information setting. Examines elements involved in effective strategic planning, implementation and management including personnel, budgeting, policy writi..."
INFO5590,Information Management Systems,core,Fall,Every year,"Russell, Luke (N/A)","In Information Management Systems we will investigate a wide range of current issues in information technology, information systems, and web-based applications with a particular emphasis on mobile and social media applications and services. We will also ..."
INFO6070,Reading & Reading Practices,elective,Summer,alternating even years,"Brown, Alison (Lecturer)","This seminar class will examine theories of reading from social, psychological and literary perspectives. The class will discuss literary practices and the evolution of the concept of literacy in an era of cultural and technological change."
INFO6090,Culture of Privacy,elective,Summer,alternating odd years,"Heggie, Carla (Adjunct Professor)","This course explores the ever evolving area of privacy. What is the current culture of privacy? What will privacy look like into the future? As a professional, you need to understand the culture of privacy and develop the skills, knowledge, and competenc..."
INFO6100,Information in Public Policy & Decision Making,elective,Winter,Every year,"MacDonald, Dr. Bertrum (Professor)","This course will be team taught be faculty members from the Schools of Information Management, Public Administration, Resource and Environmental Studies, and the Marine Affairs Program. The course addresses the question of how information is used in poli..."
INFO6150,History of the Book,elective,Winter,alternating odd years,"Grek Martin, Jennifer (Lecturer)","Explores the history of the book from its early beginnings to its present manifestations. While greatest emphasis will be placed upon the history of the book from the mid-15th century to the present, the course will also discuss the history of important ..."
INFO6250,Services and Resources for Young Adults,elective,Winter,alternating odd years,"Brown, Alison (Lecturer)","Introduces the social, intellectual and psychological nature of adolescence, with respect to reading, listening and viewing interests."
INFO6270,Introduction to Data Science,advanced technology,Winter,every year,"Conrad, Colin (Assistant Professor)","This course serves as an introduction to data science, an increasingly important set of skills and techniques for business intelligence, effective governance, and the research process. The amount of data we generate increases year on year. As computers h..."
info6290,Managing Research Data,elective,Fall,alternating odd years,"Stewart, Sandi (N/A)","Data is essential to the research process, and is an essential product of research.  As the volume, variety, and velocity of research data continues to expand, researchers and funding agencies are recognizing the value of proactive research data manageme..."
INFO6300,Government Information Resources,elective,Summer,alternating even years,"McKenna, Paul (Adjunct (FGS))","This course will examine the ways in which various levels of government structure organize, produce, and disseminate information for a range of internal & external purposes. The emphasis will be on growing digital resources and approaches for accessing t..."
INFO6320,Legal Literature and Librarianship,elective,Winter,alternating odd years,"Steeves, Hannah (Reference & Instruction Librarian)","An introduction to the major sources of Canadian legal information, and the fundamental principles, issues, and practices in law librarianship."
